Sensor,R2
xmeas_18,0.9978387355804443
xmv_9,0.996842086315155
xmeas_1,0.993773341178894
xmv_3,0.9937180876731873
xmeas_19,0.984139084815979
xmeas_7,0.9819849729537964
xmeas_16,0.9818869233131409
xmeas_13,0.9765877723693848
xmv_6,0.9747956395149231
xmeas_10,0.9746241569519043
xmeas_20,0.9698755145072937
xmeas_38,0.8935157656669617
xmv_5,0.8600242137908936
xmeas_11,0.8548585772514343
xmeas_21,0.8401153683662415
xmeas_31,0.7967717051506042
xmeas_29,0.7397286295890808
xmeas_33,0.7284141778945923
xmeas_35,0.7186769843101501
xmeas_25,0.6935831308364868
xmv_1,0.6872825622558594
xmeas_2,0.6859430074691772
xmeas_3,0.6554412841796875
xmeas_40,0.6544148325920105
xmeas_41,0.6539418697357178
xmv_2,0.6533319354057312
xmeas_39,0.649993896484375
xmeas_27,0.6437631845474243
xmeas_23,0.6415541172027588
xmeas_37,0.639317512512207
xmeas_30,0.5739601850509644
xmeas_26,0.5649486184120178
xmeas_36,0.5575084090232849
xmeas_34,0.556562066078186
xmeas_24,0.5339779853820801
xmeas_28,0.5200216174125671
xmeas_32,0.5122501254081726
xmeas_9,0.44829100370407104
xmv_10,0.44404566287994385
xmeas_22,0.38553762435913086
xmeas_4,0.29689300060272217
xmeas_8,0.14982783794403076
xmv_4,0.05203968286514282
xmeas_6,0.03237712383270264
xmeas_17,0.007838308811187744
xmv_11,0.00736546516418457
xmeas_14,-0.00022137165069580078
xmeas_15,-0.006835460662841797
xmv_8,-0.0068683624267578125
xmv_7,-0.010778307914733887
xmeas_12,-0.01078486442565918
xmeas_5,-0.01225888729095459
